,mouse,date,sessions,protocols
143,1636,2023-07-17,"['of', 'obj', 'of2', 'opto', 'opto2']","['1', '1', '1', 'U', 'U']"
144,1636,2023-08-16,"['of', 'obj', 'of2', 'opto', 'opto2']","['1', '1', '1', 'U', 'U']"
145,1636,2023-07-07,"['of', 'obj', 'opto', 'opto2']","['1', '1', 'U', 'U']"
146,1636,2023-07-03,"['of', 'opto', 'opto2']","['U', 'U', 'U']"
147,1636,2023-07-14,"['of', 'obj', 'obj2', 'of2', 'opto', 'opto2']","['3', '3', '3', '3', 'U', 'U']"
148,1757,2024-04-19,"['of', 'opto']","['U', 'U']"
149,1757,2024-04-23,"['of', 'obj', 'of1', 'opto']","['1', '1', '1', '1']"
150,1757,2024-04-22,"['of', 'opto', 'opto1']","['U', 'U', 'U']"
151,1757,2024-04-24,['of'],['1']
152,1740,2024-03-11,"['of', 'obj', 'of1', 'opto']","['1', '1', '1', '1']"
153,1740,2024-03-14,"['of', 'obj', 'of1', 'obj1', 'of2', 'opto']","['5', '5', '5', '5', '5', '5']"
154,1740,2024-03-17,"['of', 'obj', 'of1', 'obj1', 'of2', 'opto']","['5', '5', '5', '5', '5', '5']"
155,1740,2024-03-07,"['of', 'opto']","['U', 'U']"
156,1740,2024-03-08,"['of', 'opto']","['U', 'U']"
157,1740,2024-03-12,"['of', 'obj', 'of1', 'obj1', 'opto', 'opto2']","['5', '5', '5', '5', '5', '5']"
158,1740,2024-03-15,"['of', 'obj', 'obj1', 'of1', 'opto', 'opto1']","['3', '3', '3', '3', '3', '3']"
159,1740,2024-03-21,"['of', 'obj', 'of1', 'obj1', 'of2', 'opto', 'opto1']","['5', '5', '5', '5', '5', '5', '5']"
160,1740,2024-03-04,"['of', 'opto']","['U', 'U']"
161,1740,2024-03-18,"['of', 'obj', 'obj1', 'of1', 'opto', 'opto1']","['3', '3', '3', '3', '3', '3']"
162,1464,2022-10-17,"['of1', 'of2', 'of3', 'opto']","['4', '4', '4', '4']"
163,1464,2022-09-16,"['of', 'opto']","['4', '4']"
164,1464,2022-09-28,"['of1', 'of2', 'of3', 'opto']","['4', '4', '4', '4']"
165,1464,2022-08-15,"['of', 'opto']","['U', 'U']"
166,1464,2022-09-30,"['of1', 'of2', 'of3', 'opto']","['4', '4', '4', '4']"
167,1464,2022-09-09,"['of', 'opto']","['4', '4']"
168,1464,2022-09-23,"['of', 'opto']","['4', '4']"
169,1464,2022-08-19,"['of', 'opto']","['U', 'U']"
170,1464,2022-09-26,"['of1', 'of2', 'of3', 'opto']","['4', '4', '4', '4']"
171,1464,2022-09-21,"['of', 'opto']","['U', 'U']"
172,1464,2022-10-24,"['of1', 'of2', 'of3', 'opto']","['4', '4', '4', '4']"
173,1464,2022-10-12,"['of1', 'of2', 'of3', 'opto']","['4', '4', '4', '4']"
174,1884,2025-04-01,"['of', 'opto']","['U', 'U']"
175,1884,2025-04-22b,"['of', 'obj', 'of1', 'obj1', 'of2', 'opto']","['5', '5', '5', '5', '5', '5']"
176,1884,2025-04-27,"['of', 'obj', 'opto', 'obj1', 'of2']","['6', '6', '6', '6', '6']"
177,1884,2025-04-08,"['of', 'obj', 'of1', 'obj1', 'of2', 'opto']","['5', '5', '5', '5', '5', '5']"
